Array Sum Test
Size,Time (μs)
512,512000,1,True
1024,256000,3,True
2048,128000,7,True
4096,64000,15,True
8192,32000,30,True
16384,16000,62,True
32768,8000,127,True
65536,4000,250,True
131072,2000,482,True
262144,1000,1015,True
Array Sum Test
Size,Time (μs)
512,512000,0,True
1024,256000,2,True
2048,128000,4,True
4096,64000,8,True
8192,32000,16,True
16384,16000,35,True
32768,8000,75,True
65536,4000,140,True
131072,2000,259,True
262144,1000,538,True
Array Sum Test
Size,Time (μs)
512,512000,1,False
1024,256000,3,False
2048,128000,8,False
4096,64000,15,False
8192,32000,31,False
16384,16000,65,False
32768,8000,128,False
65536,4000,260,False
131072,2000,550,False
262144,1000,1035,False
Array Sum Test
Size,Time (μs)
512,512000,4,True
1024,256000,8,True
2048,128000,16,True
4096,64000,34,True
8192,32000,76,True
16384,16000,150,True
32768,8000,298,True
65536,4000,637,True
131072,2000,1542,True
262144,1000,3256,True
